id,titulo,comuna,hometype,precio_uf,currency,latitude,longitude,url_canonical,NSE
1074803,"Vendo Hermosa Casa, Sector Villa Las Américas, Comuna Paine.",Paine,casa,1638,UF,-33.817001,-70.738205,https://chile.estateathome.com/homedetails/6436683257177673/Miguel-Campino-Villa-las-Americas-360-Rm-metropolitana-Paine,C3
1000199,Casa con 1 hectárea a pasos carreteras,Paine,casa,13100,UF,-33.900200,-70.661903,https://chile.estateathome.com/homedetails/1628190870515427/Casa-con-1-hectarea-a-pasos-carreteras-Rm-metropolitana-Paine,ABC1
1028832,Dos casas en sitio 5.000 en Paine,Paine,casa,12500,UF,-33.803200,-70.672600,https://chile.estateathome.com/homedetails/1516430655021249/Dos-casas-en-sitio-5.000-en-Paine-Rm-metropolitana-Paine,ABC1
1074661,Casa en Parcela en Paine,Paine,casa,7900,UF,-33.825401,-70.758904,https://chile.estateathome.com/homedetails/5308301697962103/Casa-en-Parcela-en-Paine-Rm-metropolitana-Paine,ABC1
1101754,IMPERDIBLE OPORTUNIDAD! Casa amoblada Aculeo,Paine,casa,9900,UF,-33.855202,-70.924301,https://chile.estateathome.com/homedetails/1805427889061282/IMPERDIBLE-OPORTUNIDAD-Casa-amoblada-Aculeo-Rm-metropolitana-Paine,ABC1
1101758,"Imperdible oportunidad! Casa Amoblada, Aculeo",Paine,casa,13800,UF,-33.856098,-70.922096,https://chile.estateathome.com/homedetails/5870656454419170/Imperdible-oportunidad-Casa-Amoblada-Aculeo-Rm-metropolitana-Paine,ABC1
1112363,Nuevo precio! Casa en sector El Vínculo,Paine,casa,12350,UF,-33.834900,-70.821503,https://chile.estateathome.com/homedetails/1147124368132441/Nuevo-precio-Casa-en-sector-El-Vinculo-Rm-metropolitana-Paine,ABC1
1120730,Casa con excelente acceso carretera,Paine,casa,11990,UF,-33.805199,-70.672302,https://chile.estateathome.com/homedetails/5704013805950725/Casa-con-excelente-acceso-carretera-Rm-metropolitana-Paine,ABC1
1098512,"SE VENDE CASA EN PAINE, 2 DORMITORIOS 1 BAÑO",Paine,casa,1464,UF,-33.808624,-70.739296,https://chile.estateathome.com/homedetails/4491100973071945/EL-BELLOTO-545-Rm-metropolitana-Paine,D
1120738,SANTA MARIA DE PAINE,Paine,casa,11990,UF,-33.808800,-70.671799,https://chile.estateathome.com/homedetails/4827539273101520/SANTA-MARIA-DE-PAINE-Rm-metropolitana-Paine,ABC1
